Full Name,category_id
Stocks > Total Stocks > by Product > Crude Oil (Including SPR),388163
"Stocks > Total Stocks > by Product > Crude Oil, Commercial",388171
"Stocks > Total Stocks > by Product > Crude Oil, Commercial, Alaska In-transit",388179
"Stocks > Total Stocks > by Product > Crude Oil, SPR",388182
Stocks > Stocks by Type > by Product > Crude Oil > by Stock Type > Total Stocks,391915
Stocks > Stocks by Type > by Product > Crude Oil > by Stock Type > Strategic Petroleum Reserve,391922
Stocks > Stocks by Type > by Product > Crude Oil > by Stock Type > Non-SPR,391925
Stocks > Stocks by Type > by Product > Crude Oil > by Stock Type > Refinery,391932
Stocks > Stocks by Type > by Product > Crude Oil > by Stock Type > Tank Farms and Pipelines,391939
Stocks > Stocks by Type > by Product > Crude Oil > by Stock Type > Leases,391946
Stocks > Stocks by Type > by Product > Crude Oil > by Stock Type > Alaskan in Transit,391953
Stocks > Crude Oil Stocks at Tank Farms & Pipelines,399711
Stocks > Refinery Stocks > by Product > Crude Oil,400570
Imports/Exports and Movements > Exports by Destination > by Product > Crude Oil,319960
Imports/Exports and Movements > U.S. Net Imports by Country > by Product > Crude Oil,326962
Imports/Exports and Movements > Percentages of Total Imported Crude Oil by API Gravity,330514
Imports/Exports and Movements > U.S. Imports by Country of Origin > by Product > Crude Oil,2135558
Imports/Exports and Movements > PAD District Imports by Country of Origin > by Product > Crude Oil > by Import Area > East Coast (PADD 1),378013
Imports/Exports and Movements > PAD District Imports by Country of Origin > by Product > Crude Oil > by Import Area > Midwest (PADD 2),378068
Imports/Exports and Movements > PAD District Imports by Country of Origin > by Product > Crude Oil > by Import Area > Gulf Coast (PADD 3),378105
Imports/Exports and Movements > PAD District Imports by Country of Origin > by Product > Crude Oil > by Import Area > Rocky Mountain (PADD 4),378172
Imports/Exports and Movements > PAD District Imports by Country of Origin > by Product > Crude Oil > by Import Area > West Coast (PADD 5),378179
"Imports/Exports and Movements > Net Receipts by Pipeline, Tanker, Barge and Rail between PAD Districts > by Product > Crude Oil > by Type > Net Receipts",335108
"Imports/Exports and Movements > Net Receipts by Pipeline, Tanker, Barge and Rail between PAD Districts > by Product > Crude Oil > by Type > Receipts",335114
"Imports/Exports and Movements > Net Receipts by Pipeline, Tanker, Barge and Rail between PAD Districts > by Product > Crude Oil > by Type > Shipments",335120
"Imports/Exports and Movements > Movements by Tanker, Pipeline, Barge and Rail between PAD Districts > by Product > Crude Oil",330987
Imports/Exports and Movements > Movements by Pipeline between PAD Districts > by Product > Crude Oil,331733
Imports/Exports and Movements > Movements by Tanker and Barge between PAD Districts > by Product > Crude Oil,332506
Imports/Exports and Movements > Movements of Crude Oil and Selected Products by Rail between PAD Districts > by Product > Crude Oil,2135615
Imports/Exports and Movements > Movements of Crude Oil and Selected Products by Rail > by Product > Crude Oil,2135668
Refining and Processing > Refinery & Blender Net Input > by Product >  Crude Oil,297899
Refining and Processing > Refinery Net Input > by Product >  Crude Oil,298869
Refining and Processing > Refinery Utilization and Capacity > by Process >  Gross Input to Atmospheric Crude Oil Dist. Units,303860
Refining and Processing > Refinery Utilization and Capacity > by Process >  Operable Capacity (Calendar Day),303877
Refining and Processing > Refinery Utilization and Capacity > by Process >  Operating Capacity,303894
Refining and Processing > Refinery Utilization and Capacity > by Process >  Idle Operable Capacity,303911
Refining and Processing > Refinery Utilization and Capacity > by Process >  Operable Utilization Rate,303928
Refining and Processing > Crude Oil Input Qualities > by Type >  Sulfur Content,303996
Refining and Processing > Crude Oil Input Qualities > by Type >  API Gravity,304013
Refining and Processing > Downstream Processing of Fresh Feed Input > by Process > Catalytic Reforming,304113
Refining and Processing > Downstream Processing of Fresh Feed Input > by Process > Catalytic Cracking,304130
Refining and Processing > Downstream Processing of Fresh Feed Input > by Process > Catalytic Hydrocracking,304147
Refining and Processing > Downstream Processing of Fresh Feed Input > by Process > Delayed and Fluid Coking,304164
Crude Reserves and Production > Crude Oil Production,296686
Crude Reserves and Production > Crude Oil Production by API Gravity Volume,2477496
Summary > Supply and Disposition > by Product > Crude Oil,232183
Summary > U.S. Crude Oil Supply & Disposition,236392
Summary > Weekly Supply Estimates > by Data Series >  Crude Oil Domestic Production,235679
Summary > Weekly Supply Estimates > by Data Series >  Refinery Crude Oil Inputs,235683
Summary > Weekly Supply Estimates > by Data Series >  Refinery Operable Capacity (Calendar Day),235697
Summary > Weekly Supply Estimates > by Data Series >  Refinery Percent Operable Utilization,235704
Summary > Weekly Supply Estimates > by Data Series >  Stocks - Crude Oil (Including SPR),235896
"Summary > Weekly Supply Estimates > by Data Series >  Stocks - Crude Oil, Commercial",235898
"Summary > Weekly Supply Estimates > by Data Series >  Stocks - Crude Oil, Commercial Alaska In-Transit",235906
Summary > Weekly Supply Estimates > by Data Series >  Stocks - SPR,235908
Summary > Weekly Supply Estimates > by Data Series >  Days of Supply - Crude Oil,236117
Summary > Weekly Supply Estimates > by Data Series >  Imports - Crude Oil,236134
"Summary > Weekly Supply Estimates > by Data Series >  Imports - Crude Oil, Commercial",236136
Summary > Weekly Supply Estimates > by Data Series >  Imports - by SPR,236143
Summary > Weekly Supply Estimates > by Data Series >  Imports - into SPR by Others,236145
Summary > Weekly Supply Estimates > by Data Series >  Exports - Crude Oil,236354
Summary > Weekly Supply Estimates > by Data Series >  Net Imports - Crude Oil,236372
